Species1,Species2,Species3,Time
646,1014,77,1429
610,1057,63,1430
603,1035,80,1431
643,996,80,1432
631,1031,66,1433
619,1049,60,1434
688,1034,38,1435
637,1060,63,1436
622,1073,55,1437
636,1044,60,1438
602,1046,50,1439
651,1049,53,1440
635,1044,47,1441
631,1064,59,1442
613,1066,57,1443
630,1090,49,1444
624,1064,53,1445
612,1098,43,1446
614,1072,47,1447
634,1090,42,1448
636,1086,49,1449
611,1097,50,1450
599,1123,42,1451
616,1061,59,1452
608,1089,51,1453
609,1122,46,1454
614,1081,55,1455
588,1158,48,1456
614,1096,56,1457
581,1128,44,1458
538,1156,51,1459
537,1148,52,1460
581,1155,40,1461
543,1203,41,1462
596,1156,35,1463
575,1205,37,1464
555,1147,45,1465
537,1182,33,1466
522,1172,47,1467
520,1243,43,1468
574,1182,33,1469
567,1176,43,1470
527,1213,27,1471
553,1197,46,1472
490,1200,37,1473
528,1180,32,1474
530,1209,21,1475
503,1221,32,1476
556,1211,33,1477
520,1213,35,1478
490,1224,25,1479
499,1237,29,1480
486,1272,24,1481
477,1229,35,1482
532,1235,21,1483
453,1286,32,1484
467,1212,31,1485
491,1229,21,1486
468,1216,33,1487
475,1294,26,1488
469,1231,24,1489
487,1277,24,1490
465,1305,28,1491
453,1268,39,1492
454,1303,19,1493
428,1309,26,1494
440,1291,38,1495
471,1304,18,1496
442,1308,26,1497
438,1310,21,1498
479,1271,28,1499
439,1341,23,1500
487,1310,19,1501
447,1285,24,1502
439,1324,28,1503
448,1295,29,1504
413,1303,28,1505
422,1335,25,1506
447,1321,20,1507
467,1305,26,1508
447,1253,33,1509
450,1310,31,1510
403,1344,30,1511
428,1309,24,1512
426,1330,20,1513
434,1321,14,1514
478,1304,21,1515
449,1313,19,1516
402,1373,13,1517
472,1361,10,1518
460,1314,18,1519
431,1337,14,1520
425,1381,10,1521
404,1357,12,1522
448,1355,13,1523
373,1371,13,1524
384,1407,12,1525
423,1405,7,1526
372,1405,10,1527
408,1339,12,1528
399,1379,11,1529
377,1393,8,1530
368,1455,10,1531
345,1434,9,1532
400,1407,4,1533
389,1433,13,1534
353,1424,9,1535
375,1431,7,1536
361,1456,5,1537
380,1433,3,1538
392,1418,4,1539
369,1401,9,1540
365,1455,5,1541
359,1415,3,1542
356,1437,2,1543
394,1449,3,1544
370,1407,3,1545
352,1445,4,1546
336,1452,3,1547
334,1459,5,1548
367,1446,4,1549
338,1471,3,1550
347,1463,5,1551
309,1480,9,1552
330,1461,9,1553
332,1472,5,1554
335,1481,6,1555
358,1462,2,1556
289,1497,4,1557
312,1461,5,1558
294,1513,7,1559
333,1504,1,1560
302,1487,5,1561
305,1513,3,1562
302,1525,1,1563
322,1530,3,1564
294,1482,3,1565
295,1513,1,1566
316,1545,1,1567
316,1510,1,1568
309,1480,3,1569
307,1537,2,1570
301,1540,4,1571
305,1520,4,1572
279,1543,2,1573
309,1506,1,1574
271,1561,0,1575
265,1549,0,1576
278,1544,0,1577
284,1547,1,1578
269,1589,1,1579
